Math,Physics,Chemistry,Grade,Total_Score,Average_Score,Max_Score,Min_Score,Score_Range,Score_Std,Pass_Fail,Is_Above_Average,Math_Level,Physics_Level,Chemistry_Level
90,98,81,A,269,89.66666666666667,98,81,17,8.504900548115383,1,1,High,High,High
80,20,33,D,133,44.333333333333336,80,20,60,31.564748269760262,1,0,High,Low,Low
40,25,93,C,158,52.666666666666664,93,25,68,35.725807665234576,1,0,Low,Low,High
91,64,82,B+,237,79.0,91,64,27,13.74772708486752,1,1,High,Medium,High
63,95,100,A,258,86.0,100,63,37,20.074859899884732,1,1,Medium,High,High
88,38,66,B,192,64.0,88,38,50,25.059928172283335,1,1,High,Low,Medium
92,35,72,B,199,66.33333333333333,92,35,57,28.919428302325297,1,1,High,Low,High
59,49,22,D,130,43.333333333333336,59,22,37,19.139836293274122,1,0,Medium,Medium,Low
64,30,53,D,147,49.0,64,30,34,17.349351572897472,1,0,Medium,Low,Medium
49,92,73,B+,214,71.33333333333333,92,49,43,21.548395145191982,1,1,Medium,High,High
57,48,21,D,126,42.0,57,21,36,18.734993995195193,1,0,Medium,Medium,Low
42,10,32,F,84,28.0,42,10,32,16.3707055437449,0,0,Medium,Low,Low
69,51,93,B+,213,71.0,93,51,42,21.071307505705477,1,1,Medium,Medium,High
85,10,41,D,136,45.333333333333336,85,10,75,37.687309977409285,1,0,High,Low,Medium
84,73,37,B,194,64.66666666666667,84,37,47,24.583192089989723,1,1,High,High,Low
20,47,46,D,113,37.666666666666664,47,20,27,15.307950004273378,1,0,Low,Medium,Medium
12,67,21,D,100,33.333333333333336,67,12,55,29.501412395567325,1,0,Low,Medium,Low
69,35,89,B,193,64.33333333333333,89,35,54,27.30079363925769,1,1,Medium,Low,High
10,94,74,C,178,59.333333333333336,94,10,84,43.878620458411554,1,1,Low,High,High
53,41,74,C,168,56.0,74,41,33,16.703293088490067,1,1,Medium,Medium,High
82,31,73,B,186,62.0,82,31,51,27.2213151776324,1,1,High,Low,High
89,51,50,B,190,63.333333333333336,89,50,39,22.233608194203057,1,1,High,Medium,Medium
23,51,10,F,84,28.0,51,10,41,20.952326839756964,0,0,Low,Medium,Low
85,63,18,C,166,55.333333333333336,85,18,67,34.15162270424838,1,1,High,Medium,Low
78,84,86,A,248,82.66666666666667,86,78,8,4.163331998932265,1,1,High,High,High
38,75,54,C,167,55.666666666666664,75,38,37,18.556220879622373,1,1,Low,High,Medium
17,14,10,F,41,13.666666666666666,17,10,7,3.511884584284246,0,0,Low,Low,Low
93,66,36,B,195,65.0,93,36,57,28.513154858766505,1,1,High,Medium,Low
54,73,47,C,174,58.0,73,47,26,13.45362404707371,1,1,Medium,High,Medium
41,48,98,B,187,62.333333333333336,98,41,57,31.085902485424697,1,1,Medium,Medium,High
62,32,83,C,177,59.0,83,32,51,25.632011235952593,1,1,Medium,Low,High
63,84,25,C,172,57.333333333333336,84,25,59,29.90540642314251,1,1,Medium,High,Low
48,19,36,D,103,34.333333333333336,48,19,29,14.571661996262929,1,0,Medium,Low,Low
88,65,30,B,183,61.0,88,30,58,29.206163733020468,1,1,High,Medium,Low
90,38,20,D,148,49.333333333333336,90,20,70,36.35014901390823,1,0,High,Low,Low
52,74,15,D,141,47.0,74,15,59,29.816103031751148,1,0,Medium,High,Low
60,73,96,B+,229,76.33333333333333,96,60,36,18.230011885167087,1,1,Medium,High,High
18,98,26,D,142,47.333333333333336,98,18,80,44.06056437828882,1,0,Low,High,Low
55,35,18,D,108,36.0,55,18,37,18.520259177452136,1,0,Medium,Low,Low
23,27,54,D,104,34.666666666666664,54,23,31,16.862186493255653,1,0,Low,Low,Medium
29,98,52,C,179,59.666666666666664,98,29,69,35.13308032799477,1,1,Low,High,Medium
92,21,32,D,145,48.333333333333336,92,21,71,38.214307966170644,1,0,High,Low,Low
47,23,33,D,103,34.333333333333336,47,23,24,12.055427546683415,1,0,Medium,Low,Low
69,26,73,C,168,56.0,73,26,47,26.057628441590765,1,1,Medium,Low,High
87,21,18,D,126,42.0,87,18,69,39.0,1,0,High,Low,Low
91,72,61,B+,224,74.66666666666667,91,61,30,15.17673658377628,1,1,High,High,Medium
98,94,55,A,247,82.33333333333333,98,55,43,23.75570107012911,1,1,High,High,Medium
82,60,10,D,152,50.666666666666664,82,10,72,36.89625093872457,1,0,High,Medium,Low
80,78,75,B+,233,77.66666666666667,80,75,5,2.5166114784235836,1,1,High,High,High
22,28,80,D,130,43.333333333333336,80,22,58,31.89566323708183,1,0,Low,Low,High
88,53,45,B,186,62.0,88,45,43,22.869193252058544,1,1,High,Medium,Medium
97,24,25,D,146,48.666666666666664,97,24,73,41.86088070422472,1,0,High,Low,Low
48,91,11,D,150,50.0,91,11,80,40.0374824383352,1,0,Medium,High,Low
15,45,53,D,113,37.666666666666664,53,15,38,20.033305601755625,1,0,Low,Medium,Medium
20,52,68,D,140,46.666666666666664,68,20,48,24.440403706431145,1,0,Low,Medium,Medium
85,21,60,C,166,55.333333333333336,85,21,64,32.25419869309007,1,1,High,Low,Medium
17,59,93,C,169,56.333333333333336,93,17,76,38.07011076071796,1,1,Low,Medium,High
20,100,100,B+,220,73.33333333333333,100,20,80,46.18802153517006,1,1,Low,High,High
24,54,44,D,122,40.666666666666664,54,24,30,15.275252316519467,1,0,Low,Medium,Medium
59,49,48,C,156,52.0,59,48,11,6.082762530298219,1,0,Medium,Medium,Medium
56,60,89,B,205,68.33333333333333,89,56,33,18.0092568789868,1,1,Medium,Medium,High
14,99,24,D,137,45.666666666666664,99,14,85,46.45786621588785,1,0,Low,High,Low
25,59,57,D,141,47.0,59,25,34,19.078784028338912,1,0,Low,Medium,Medium
26,84,16,D,126,42.0,84,16,68,36.71511950137164,1,0,Low,High,Low
53,23,62,D,138,46.0,62,23,39,20.42057785666214,1,0,Medium,Low,Medium
45,86,28,C,159,53.0,86,28,58,29.816103031751148,1,0,Medium,High,Low
19,85,69,C,173,57.666666666666664,85,19,66,34.42867022313428,1,1,Low,High,Medium
64,43,33,D,140,46.666666666666664,64,33,31,15.821925715074423,1,0,Medium,Medium,Low
41,93,61,B,195,65.0,93,41,52,26.229754097208,1,1,Medium,High,Medium
91,54,91,B+,236,78.66666666666667,91,54,37,21.361959960016154,1,1,High,Medium,High
91,68,18,C,177,59.0,91,18,73,37.322915213043046,1,1,High,Medium,Low
59,63,52,C,174,58.0,63,52,11,5.5677643628300215,1,1,Medium,Medium,Medium
48,23,47,D,118,39.333333333333336,48,23,25,14.153915830374762,1,0,Medium,Low,Medium
10,93,22,D,125,41.666666666666664,93,10,83,44.85903847981289,1,0,Low,High,Low
15,24,27,F,66,22.0,27,15,12,6.244997998398398,0,0,Low,Low,Low
92,56,82,B+,230,76.66666666666667,92,56,36,18.583146486355137,1,1,High,Medium,High
35,10,53,F,98,32.666666666666664,53,10,43,21.594752448994022,0,0,Low,Low,Medium
58,43,96,B,197,65.66666666666667,96,43,53,27.319101986217138,1,1,Medium,Medium,High
55,87,21,C,163,54.333333333333336,87,21,66,33.005050118630834,1,0,Medium,High,Low
49,88,64,B,201,67.0,88,49,39,19.672315572906,1,1,Medium,High,Medium
80,21,49,D,150,50.0,80,21,59,29.512709126747414,1,0,High,Low,Medium
92,70,68,B+,230,76.66666666666667,92,68,24,13.316656236958787,1,1,High,Medium,Medium
49,53,85,B,187,62.333333333333336,85,49,36,19.731531449264992,1,1,Medium,Medium,High
52,51,46,D,149,49.666666666666664,52,46,6,3.214550253664318,1,0,Medium,Medium,Medium
15,65,40,D,120,40.0,65,15,50,25.0,1,0,Low,Medium,Low
81,22,99,B,202,67.33333333333333,99,22,77,40.2781992315115,1,1,High,Low,High
70,61,32,C,163,54.333333333333336,70,32,38,19.85782801147531,1,0,Medium,Medium,Low
57,36,18,D,111,37.0,57,18,39,19.519221295943137,1,0,Medium,Low,Low
81,82,54,B+,217,72.33333333333333,82,54,28,15.88500340992514,1,1,High,High,Medium
88,21,75,B,184,61.333333333333336,88,21,67,35.52933060632206,1,1,High,Low,High
36,64,46,D,146,48.666666666666664,64,36,28,14.189197769195175,1,0,Low,Medium,Medium
58,50,67,C,175,58.333333333333336,67,50,17,8.504900548115383,1,1,Medium,Medium,Medium
45,10,35,F,90,30.0,45,10,35,18.027756377319946,0,0,Medium,Low,Low
20,45,48,D,113,37.666666666666664,48,20,28,15.37313674346694,1,0,Low,Medium,Medium
53,14,96,C,163,54.333333333333336,96,14,82,41.01625693957621,1,0,Medium,Low,High
25,60,100,B,185,61.666666666666664,100,25,75,37.52776749732568,1,1,Low,Medium,High
82,22,38,D,142,47.333333333333336,82,22,60,31.069813860616115,1,0,High,Low,Low
70,34,20,D,124,41.333333333333336,70,20,50,25.794056162870802,1,0,Medium,Low,Low
77,82,91,A,250,83.33333333333333,91,77,14,7.094598884597588,1,1,High,High,High
31,85,12,D,128,42.666666666666664,85,12,73,37.87259343289463,1,0,Low,High,Low
35,70,35,D,140,46.666666666666664,70,35,35,20.207259421636902,1,0,Low,Medium,Low
71,18,55,D,144,48.0,71,18,53,27.184554438136374,1,0,High,Low,Medium
73,65,88,B+,226,75.33333333333333,88,65,23,11.67618659209133,1,1,High,Medium,High
91,81,26,B,198,66.0,91,26,65,35.0,1,1,High,High,Low
34,82,49,C,165,55.0,82,34,48,24.55605831561735,1,1,Low,High,Medium
31,100,52,B,183,61.0,100,31,69,35.369478367654786,1,1,Low,High,Medium
42,58,36,D,136,45.333333333333336,58,36,22,11.372481406154654,1,0,Medium,Medium,Low
78,89,35,B,202,67.33333333333333,89,35,54,28.53652630109932,1,1,High,High,Low
21,17,59,F,97,32.333333333333336,59,17,42,23.180451534284945,0,0,Low,Low,Medium
26,93,12,D,131,43.666666666666664,93,12,81,43.293571501244074,1,0,Low,High,Low
90,81,67,B+,238,79.33333333333333,90,67,23,11.590225767142474,1,1,High,High,Medium
82,12,19,D,113,37.666666666666664,82,12,70,38.552993831002716,1,0,High,Low,Low
18,100,79,B,197,65.66666666666667,100,18,82,42.59499188089292,1,1,Low,High,High
90,31,59,C,180,60.0,90,31,59,29.512709126747414,1,1,High,Low,Medium
66,36,36,D,138,46.0,66,36,30,17.320508075688775,1,0,Medium,Low,Low
53,74,33,C,160,53.333333333333336,74,33,41,20.502032419575706,1,0,Medium,High,Low
22,13,68,D,103,34.333333333333336,68,13,55,29.501412395567325,1,0,Low,Low,Medium
65,76,28,C,169,56.333333333333336,76,28,48,25.146238950056397,1,1,Medium,High,Low
66,100,54,B+,220,73.33333333333333,100,54,46,23.860706890897706,1,1,Medium,High,Medium
62,28,74,C,164,54.666666666666664,74,28,46,23.86070689089771,1,0,Medium,Low,High
45,85,42,C,172,57.333333333333336,85,42,43,24.00694344004112,1,1,Medium,High,Medium
77,93,53,B+,223,74.33333333333333,93,53,40,20.13289182738867,1,1,High,High,Medium
11,33,64,D,108,36.0,64,11,53,26.627053911388696,1,0,Low,Low,Medium
81,52,98,B+,231,77.0,98,52,46,23.259406699226016,1,1,High,Medium,High
61,73,28,C,162,54.0,73,28,45,23.302360395462088,1,0,Medium,High,Low
74,90,49,B+,213,71.0,90,49,41,20.663978319771825,1,1,High,High,Medium
61,69,25,C,155,51.666666666666664,69,25,44,23.43786110832926,1,0,Medium,Medium,Low
24,39,34,F,97,32.333333333333336,39,24,15,7.637626158259733,0,0,Low,Low,Low
13,24,37,F,74,24.666666666666668,37,13,24,12.013880860626733,0,0,Low,Low,Low
64,59,57,C,180,60.0,64,57,7,3.605551275463989,1,1,Medium,Medium,Medium
63,92,100,A,255,85.0,100,63,37,19.467922333931785,1,1,Medium,High,High
11,78,62,D,151,50.333333333333336,78,11,67,34.99047489436708,1,0,Low,High,Medium
87,83,97,A,267,89.0,97,83,14,7.211102550927978,1,1,High,High,High
45,94,28,C,167,55.666666666666664,94,28,66,34.26854728950928,1,1,Medium,High,Low
49,16,100,C,165,55.0,100,16,84,42.320207938997655,1,1,Medium,Low,High
39,92,84,B+,215,71.66666666666667,92,39,53,28.571547618799606,1,1,Low,High,High
86,59,68,B+,213,71.0,86,59,27,13.74772708486752,1,1,High,Medium,Medium
11,23,40,F,74,24.666666666666668,40,11,29,14.571661996262929,0,0,Low,Low,Low
79,25,51,C,155,51.666666666666664,79,25,54,27.00617213403879,1,0,High,Low,Medium
37,11,24,F,72,24.0,37,11,26,13.0,0,0,Low,Low,Low
80,48,82,B,210,70.0,82,48,34,19.078784028338912,1,1,High,Medium,High
22,34,37,F,93,31.0,37,22,15,7.937253933193772,0,0,Low,Low,Low
97,93,42,B+,232,77.33333333333333,97,42,55,30.664855018951798,1,1,High,High,Medium
49,98,13,C,160,53.333333333333336,98,13,85,42.665364563464514,1,0,Medium,High,Low
40,94,54,B,188,62.666666666666664,94,40,54,28.023799409311604,1,1,Low,High,Medium
58,57,30,D,145,48.333333333333336,58,30,28,15.88500340992514,1,0,Medium,Medium,Low
100,77,76,A,253,84.33333333333333,100,76,24,13.576941236277534,1,1,High,High,High
89,93,12,B,194,64.66666666666667,93,12,81,45.6544995956952,1,1,High,High,Low
13,33,65,D,111,37.0,65,13,52,26.229754097208,1,0,Low,Low,Medium
58,85,40,B,183,61.0,85,40,45,22.64950330581225,1,1,Medium,High,Low
71,98,64,B+,233,77.66666666666667,98,64,34,17.95364401266031,1,1,High,High,Medium
99,42,65,B,206,68.66666666666667,99,42,57,28.676354952004157,1,1,High,Medium,Medium
68,70,90,B+,228,76.0,90,68,22,12.165525060596439,1,1,Medium,Medium,High
25,45,63,D,133,44.333333333333336,63,25,38,19.00876990584434,1,0,Low,Medium,Medium
19,11,74,D,104,34.666666666666664,74,11,63,34.29771615331454,1,0,Low,Low,High
33,71,39,D,143,47.666666666666664,71,33,38,20.428737928059416,1,0,Low,High,Low
